Timestamp,¿Para qué tipo de empresa trabaja?,La empresa para la que usted trabaja se dedica principalmente a,¿Cuantos años de fundada tiene la empresa para la que trabaja?,¿Tiene usted título de fundador en la empresa?,¿Qué porcentaje de su tiempo laboral se ocupa en tareas relacionadas a desarrollo de software?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de proyectos?,¿Qué porcentaje de su tiempo laboral se ocupa en liderazgo técnico?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de ingenieria?,¿Cuánto tiempo lleva en su cargo actual (incluyendo freelance)?,¿Cuántos años de experiencia en desarrollo de software profesional tiene?,¿En cuál de los siguientes lenguajes de programación ocupa la mayoría de su tiempo laboral?,Tipo de relación laboral,¿Tiene titulo universitario o técnico?,¿Estudío alguna carrera de PREgrado relacionada a ingeniería de sistemas?,¿Estudío alguna carrera de POSTgrado relacionada a ingeniería de sistemas?,¿Tomó clases de programación o algorítmia en la universidad?,¿Cuál es su máximo titulo alcanzado (graduado)?,¿A usted le pagan en pesos colombianos (COP) o dólares (USD)?,¿Cuanto es su salario ANUAL?,¿Cuanto era el salario ANUAL de su trabajo anterior?,¿Quién paga su seguro de salud?,¿Quién paga sus pensiones y cesantias?,"Si tiene acciones (opciones) en la empresa, que porcentaje de participación tiene",¿Trabaja usted en proyectos freelance a pesar de tener trabajo tiempo completo?,¿Cuanto fue el total de sus ingresos adicionales de proyectos freelance el año pasado?,¿Siente que su salario es justo?,¿Cuantos años tiene?,¿Con cual pronombre prefiere que se refieran a usted?,¿Cuál es su nivel de inglés para realizar conversaciones técnicas sobre software?,¿Se considera usted parte de una minoría racial o étnica?,¿Cuantos hijos tiene?,¿En que ciudad de Colombia vive?
1/12/2016 22:30:29,empresa extranjera,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",2 - 5,no,50 - 60%,10 - 20%,20 - 30%,no tengo responsabilidades gerenciales,2 años,5 - 10 años,JavaScript,contratista,universitario,si,si,si,maestria,dolares,"$81,600.00","$48,000.00",mi empleador,yo,1 - 5%,no,0,si,31,el,avanzado,no,0,Medellin
1/12/2016 22:34:30,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,1,no,80 - 90%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,1 año,5 - 10 años,Clojure,empleado,universitario,si,no,si,pregrado,pesos,"$117,600,000.00","$198,000,000.00",mi empleador,mi empleador,10 - 20%,no,0,si,27,el,avanzado,no,0,Medellín
1/12/2016 22:35:55,empresa extranjera,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,no,70 - 80%,20 - 30%,10 - 20%,no tengo responsabilidades gerenciales,1 año,3 - 5 años,Elixir,contratista,universitario,si,no,si,pregrado,dolares,"$108,000.00","$70,000.00",yo,yo,menos de 0.5%,no,0,si,29,el,avanzado,no,0,Bogotá
1/12/2016 22:37:05,soy independiente (freelance),soy independiente,soy independiente,si,70 - 80%,0 - 10%,0 - 10%,no tengo responsabilidades gerenciales,2 años,2 años,C#,freelance,universitario,si,no,si,pregrado,pesos,"$40,000,000.00","$20,000,000.00",yo,yo,no tengo,soy independiente,40000000,si,24,el,avanzado,no,0,Bogotá
1/12/2016 22:39:49,empresa extranjera,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,no,80 - 90%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,1 año,3 - 5 años,Elixir,contratista,universitario,si,si,si,pregrado,dolares,"$120,000.00","$120,000.00",yo,yo,no tengo,no,0,si,26,el,intermedio,no,0,Barranquilla
1/12/2016 22:41:11,empresa extranjera,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",2 - 5,no,70 - 80%,10 - 20%,no tengo responsabilidades de liderazgo técnico,0 - 10%,3 - 5 años,5 - 10 años,Ruby,empleado,ningúno,si,no,si,bachiller,dolares,"$130,000.00","$85,000.00",yo,yo,menos de 0.5%,no,0,si,29,el,nativo,no,0,Medellín
1/12/2016 22:41:14,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,5 - 10,no,90 - 100%,0 - 10%,40 - 50%,20 - 30%,1 año,5 - 10 años,Scala,empleado,universitario,si,si,si,maestria,pesos,"$60,000,000.00","$40,000,000.00",mi empleador,mi empleador,no tengo,no,0,si,29,el,avanzado,no,0,Medellín
1/12/2016 22:44:31,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,2 - 5,no,80 - 90%,0 - 10%,0 - 10%,no tengo responsabilidades gerenciales,1 año,2 años,JavaScript,contratista,ningúno,si,no,si,bachiller,dolares,"$60,000.00","$48,000.00",yo,yo,no tengo,no,0,si,33,el,avanzado,no,0,Medellín
1/12/2016 22:44:54,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,2 - 5,no,50 - 60%,no tengo responsabilidades de este tipo,50 - 60%,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,JavaScript,empleado,ningúno,si,no,si,bachiller,pesos,"$12,000,000.00",$0.00,yo,yo,no tengo,no,500,si,19,el,intermedio,Afrocolombiano o Afrodescendiente,0,Quibdó
1/12/2016 22:44:59,empresa Colombiana con mercado Colombiano,"servicio no tecnológico (banca, seguros, contabilidad, etc)",2 - 5,no,30 - 40%,60 - 70%,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,3 - 5 años,3 - 5 años,HTML/CSS,freelance,técnico,no,no,no,pregrado,pesos,"$50,000,000.00","$30,000,000.00",yo,yo,mas de 20%,si,40000000,si,25,el,intermedio,no,0,Bogota
